instrument_id,test_id,ibp,fbp,product
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,a5e99a29e8248df879a14fd1e8fe6b75aaf3946ca15c111aca77c4f3f509543a,148.818,248.068,JET D1655-DEFSTAN91
942706ef-836a-4464-bc76-74aa97b76f8b,764ee895c16ec435caf51864f878bcdadc3ac13b7cad8cdcb9b2da2daa92a488,153.627,246.628,JET D1655-DEFSTAN91
942706ef-836a-4464-bc76-74aa97b76f8b,2e0e2d88f9d245b2d12b02988cb8366d90b1f9a367210cd1c6d783cc92692e0a,146.786,246.252,JET D1655-DEFSTAN91
0889e4ec-1473-4d57-a5cb-df61853edf03,1f8158762365a32efd7556233f733d58411c3bfc984476d1ac53bfe04155c9d2,147.746,247.075,JET D1655-DEFSTAN91
0889e4ec-1473-4d57-a5cb-df61853edf03,6e84f645bf22f343b82255e03f7cbc3003aa884f34501715210049e4f6966291,175.086,225.786,JET D1655-DEFSTAN91
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,0b768c23094b90ae15688a9522810a5ce6605c7de029b1e04c27574aaab22fb3,147.375,247.828,JET D1655-DEFSTAN91
0889e4ec-1473-4d57-a5cb-df61853edf03,59e8a88a659a4e0d0dc31e0de56c6bdd210da650f57df771793f2149ee20a94c,148.634,246.511,JET D1655-DEFSTAN91
e1326398-e01a-445f-9caa-c175da8ac7d3,fbeecb86f24bc160429ac6ad5fd1d029f00b00b82345193c2969ab1b1f5ec6d0,150.654,241.705,JET D1655-DEFSTAN91
0889e4ec-1473-4d57-a5cb-df61853edf03,462fc1a0d243eeab69ffe498fafcbfadea5412b1830e84230608ea98fb8a956b,157.648,248.901,JET D1655-DEFSTAN91
0889e4ec-1473-4d57-a5cb-df61853edf03,db5dc785a525ce1e1bc00124db49a90d50730b39276051cfda4c61690e5bd6b1,148.875,246.23,JET D1655-DEFSTAN91
e1326398-e01a-445f-9caa-c175da8ac7d3,9b8b842b797393c10151681ec2d53d6f0a5a700e92714172788b892980e98347,147.86,249.56,JET D1655-DEFSTAN91
e1326398-e01a-445f-9caa-c175da8ac7d3,dd8288e1cd405a877adbca696bd845c1defaf4cbc30c6142cf3f5c7d77955368,154.071,247.335,JET D1655-DEFSTAN91
e1326398-e01a-445f-9caa-c175da8ac7d3,70fec98764a02f025e6defbb1f3c7d9cbe8b7c8b4e63a4613253249f539847a4,167.314,233.221,JET D1655-DEFSTAN91
942706ef-836a-4464-bc76-74aa97b76f8b,87c40125b71f6ae97112e31cd44907906e30fac82a22dac7fee1ff78b824e2fb,147.753,247.579,JET D1655-DEFSTAN91
e1326398-e01a-445f-9caa-c175da8ac7d3,d21b1a689932fa46ac30e7d66fb30f59b3f68641ebe522247f522fd4f88b09c1,148.317,246.908,JET D1655-DEFSTAN91
942706ef-836a-4464-bc76-74aa97b76f8b,7f44a05d3bb54f49066640be5541f6160df16e0e5f7b1aed4645f9dd2f1f97d5,145.931,247.971,JET D1655-DEFSTAN91
942706ef-836a-4464-bc76-74aa97b76f8b,a90d998426cb38df884dafc2ace03c841fbc1e9f7efd3e20027023fc5ab57872,167.088,234.848,JET D1655-DEFSTAN91
942706ef-836a-4464-bc76-74aa97b76f8b,e80960a21113f831a8f52e2075757a60ebf47346b432a9e2ea5de6398458b0ef,167.088,234.848,JET D1655-DEFSTAN91
942706ef-836a-4464-bc76-74aa97b76f8b,26d480ebd51f00f11d1725a89e1249b3d8789041b364739e51d974aa70031ad9,166.898,234.334,JET D1655-DEFSTAN91
942706ef-836a-4464-bc76-74aa97b76f8b,ee71c2fb9193e0d09ad950f3d059778e132c8e2156a286f91edcba7b5300b9be,154.616,257.958,JET D1655-DEFSTAN91
942706ef-836a-4464-bc76-74aa97b76f8b,bf42ab2d9aa3c557c1b4cdf20ee52e3ccb5139510927c4597f7a4fe264da17ad,147.715,252.535,JET D1655-DEFSTAN91
339f4e04-c233-4cd0-adcb-e57d59f7e0c1,fc37d06801c69133ec2a7ad1f5c38f79249132c77a157dd5a696f0cb94245fc5,174.272,226.719,JET D1655-DEFSTAN91
0889e4ec-1473-4d57-a5cb-df61853edf03,b16539f0695f0eb9b418fac1f74038f93ac307f9c1bea5311ef93dc45e9ce245,147.802,232.743,JET D1655-DEFSTAN91
